channel_id,channel_name,channel_created_at,country,description_len,subscriber_count,total_view_count,total_video_count,uploads_playlist_id,channel_category,note,channel_age_years,subscriber_tier,avg_views_per_video,video_count_dataset,total_views_dataset,avg_views_per_video_dataset,median_views_per_video,avg_engagement_rate,short_form_count,viral_count,commercial_count,first_video_date,last_video_date,short_form_ratio
UCtT5uP2WIGxyP0MYCC_ZHtQ,Oops Hiha,2013-04-12 02:16:37.000000,VN,260,6640000,4263966112,2927,UUtT5uP2WIGxyP0MYCC_ZHtQ,Gaming,Oops Hiha,13.07,Large,1456770.0,600,665480810,1109134.6833333333,987307.0,0.01222169,63,0,0,2024-12-17 11:30:06,2026-05-06 13:21:25,0.105
UCh2lo0AEEMkJ3LO4dldfjGA,Mèo Simmy,2014-07-16 07:27:55.000000,VN,137,6330000,2685046275,2100,UUh2lo0AEEMkJ3LO4dldfjGA,Gaming,Mèo Simmy,11.81,Large,1278593.0,600,767176471,1278627.4516666667,767880.0,0.015078958333333335,93,1,1,2024-01-12 12:30:25,2026-05-05 11:37:32,0.155
UC_-mvlzR-E0UNWs6O8TgThQ,RedhoodVN,2017-04-13 14:26:58.000000,VN,745,7440000,3313593264,672,UU_-mvlzR-E0UNWs6O8TgThQ,Gaming,RedhoodVN,9.06,Large,4930942.0,600,2940822805,4901371.341666667,3541965.0,0.023684838063439066,20,3,0,2018-04-22 01:28:33,2026-01-25 21:19:53,0.0333
UCk6zjonUuEBj88vpHaj8HlA,Dương FG,2015-02-03 08:46:52.000000,VN,133,2240000,969473136,2069,UUk6zjonUuEBj88vpHaj8HlA,Gaming,Dương FG,11.25,Large,468571.0,600,181090951,301818.25166666665,197790.0,0.029296181969949917,32,0,1,2022-08-22 13:59:58,2026-04-25 11:35:05,0.0533
UCUgXK2UjZ8G_EM438aYkGrw,POPS MUSIC,2013-03-25 07:42:10.000000,VN,427,10400000,7306901703,12861,UUUgXK2UjZ8G_EM438aYkGrw,Music,POPS MUSIC,13.12,Mega,568144.0,600,63857458,106429.09666666666,6553.5,0.014119228333333332,409,0,1,2022-01-24 12:00:12,2026-04-29 06:50:31,0.6817
UCbIZSalhHyz3RNWj2wowzdQ,Hau Hoang,2014-01-17 17:00:34.000000,VN,289,8370000,3694440149,365,UUbIZSalhHyz3RNWj2wowzdQ,Music,Hau Hoang,12.3,Large,10121754.0,366,3694940880,10095466.885245902,362781.5,0.018625287671232876,291,37,0,2017-02-19 10:37:22,2025-12-26 11:01:55,0.7951
UCI2OiZs5aVcyBUBVsgovzng,YEAH1 MUSIC,2014-12-04 09:49:55.000000,VN,440,3430000,2596221631,2120,UUI2OiZs5aVcyBUBVsgovzng,Music,YEAH1 MUSIC,11.42,Large,1224633.0,600,124776621,207961.035,17741.5,0.017850773333333333,182,0,1,2024-12-23 01:00:06,2026-04-29 12:00:35,0.3033
UClyA28-01x4z60eWQ2kiNbA,Sơn Tùng M-TP Official,2015-01-21 02:38:32.000000,VN,535,11500000,3565019668,199,UUlyA28-01x4z60eWQ2kiNbA,Music,Sơn Tùng M-TP Official,11.29,Mega,17914672.0,199,3390811536,17039253.949748743,970283.0,0.03743082914572864,70,20,4,2015-01-30 11:15:17,2024-08-11 13:11:00,0.3518
UCWu91J5KWEj1bQhCBuGeJxw,Đen Vâu Official,2014-08-25 16:24:54.000000,VN,74,5220000,2162184416,149,UUWu91J5KWEj1bQhCBuGeJxw,Music,Đen Vâu Official,11.7,Large,14511305.0,149,2128458071,14284953.496644296,686989.0,0.02223340268456376,55,19,0,2015-04-22 12:35:07,2026-04-04 23:01:02,0.3691
UCBZjBKNMZoFih4ubdiIDWLw,NhacPro Tube,2015-03-03 03:25:45.000000,VN,71,6640000,3550841031,473,UUBZjBKNMZoFih4ubdiIDWLw,Music,NhacPro Tube,11.18,Large,7507063.0,473,3550939555,7507271.786469345,352922.0,0.008998890063424947,83,39,0,2015-03-03 03:53:44,2026-05-05 12:01:45,0.1755
UChUJa1JyBc7Lc4orkiNKKQg,J97,2020-02-17 07:35:05.089403,VN,481,6380000,1003001043,43,UUhUJa1JyBc7Lc4orkiNKKQg,Music,J97,6.22,Large,23325606.0,43,1003269755,23331854.76744186,5194569.0,0.038762279069767445,17,8,0,2020-02-17 12:30:10,2026-02-24 04:11:34,0.3953
UC0jDoh3tVXCaqJ6oTve8ebA,FAPTV,2014-02-26 15:44:42.000000,VN,828,14500000,6060597911,2390,UU0jDoh3tVXCaqJ6oTve8ebA,Comedy,FAPTV,12.19,Mega,2535815.0,600,205117290,341862.15,57427.5,0.011659451666666666,554,0,0,2025-08-21 05:15:01,2026-05-07 08:00:16,0.9233
UCq6ApdQI0roaprMAY1gZTgw,Ghiền Mì Gõ,2015-06-30 05:41:24.000000,VN,266,6900000,4487371203,2331,UUq6ApdQI0roaprMAY1gZTgw,Comedy,Ghiền Mì Gõ,10.85,Large,1925084.0,600,65362386,108937.31,25500.5,0.010223984899328858,256,0,2,2023-10-24 02:00:18,2026-05-07 07:15:36,0.4267
UCwmurIyZ6FHyVPtKppe_2_A,DIEN QUAN Comedy / Hài,2014-12-17 06:57:46.000000,VN,248,6310000,4491177901,10137,UUwmurIyZ6FHyVPtKppe_2_A,Comedy,DIEN QUAN Comedy,11.39,Large,443048.0,600,20036618,33394.363333333335,7679.0,0.004943705,305,0,0,2026-02-14 01:00:35,2026-05-07 08:00:57,0.5083
